+-------------------------------+-----------+----------------------+---------------+-----------+
| productFamily                 | tenancy   | pubdate              | instanceType  | memory    |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | r5.24xlarge   | 768 GiB   |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | c5n.2xlarge   | 21 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | r5d.8xlarge   | 256 GiB   |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | m3.2xlarge    | 30 GiB    |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | i3en.24xlarge | 768 GiB   |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | t3a.2xlarge   | 32 GiB    |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | i3en.3xlarge  | 96 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | c5.9xlarge    | 72 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | r5ad.xlarge   | 32 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | m5ad.12xlarge | 192 GiB   |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | r3.4xlarge    | 122 GiB   |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | r5.2xlarge    | 64 GiB    |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | c5.large      | 4 GiB     |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | m5d.2xlarge   | 32 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | t3a.2xlarge   | 32 GiB    |
| Compute Instance              | Host      | 2019-10-18T01:39:56Z | i3.2xlarge    | 61 GiB    |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | r3.8xlarge    | 244 GiB   |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | m5.12xlarge   | 192 GiB   |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | c5d.18xlarge  | 144 GiB   |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | g4dn.xlarge   | 16 GiB    |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | g2.8xlarge    | 60 GiB    |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | m5.24xlarge   | 384 GiB   |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | c5.9xlarge    | 72 GiB    |
